feature_name,deployment_category,deployment_available
event_count,portable,True
message_count,portable,True
unique_directed_pair_count,portable,True
repeated_pair_count,portable,True
status_transition_count,portable,True
artifact_count,portable,True
artifact_version_count,portable,True
artifact_size_bytes_total,portable,True
record_count_total,portable,True
revision_count,portable,True
clarification_count,portable,True
active_agent_count,portable,True
prompt_eval_count_mean,ollama_specific,True
eval_count_mean,ollama_specific,True
prompt_eval_duration_mean,ollama_specific,True
eval_duration_mean,ollama_specific,True
total_duration_mean,ollama_specific,True
load_duration_mean,ollama_specific,True
wall_clock_latency_ms_mean,runtime_specific,True
total_call_count,runtime_specific,True
llm_call_count,runtime_specific,True
token_features.input_token_count,ollama_specific,True
token_features.output_token_count,ollama_specific,True
token_features.total_token_count,ollama_specific,True
token_features.expansion_ratio,ollama_specific,True
token_features.token_difference,ollama_specific,True
token_features.predecessor_output_ratio,ollama_specific,True
token_features.ctx_delta,ollama_specific,True
timing_features.wall_clock_latency_ms,runtime_specific,True
timing_features.generation_time_ms,ollama_specific,True
timing_features.prompt_eval_time_ms,ollama_specific,True
timing_features.tokens_per_second,ollama_specific,True
timing_features.generation_ratio,ollama_specific,True
timing_features.non_generation_overhead_ms,ollama_specific,True
graph_features.fan_in_out_by_agent,portable,True
graph_features.edge_density,portable,True
graph_features.parallel_edge_count,portable,True
graph_features.reply_chain_depth,portable,True
graph_features.artifact_lineage_depth,portable,True
session_features.latency_cv,portable,True
session_features.output_token_cv,ollama_specific,True
session_features.message_cv,portable,True
session_features.artifact_cv,portable,True
session_features.max_output_ratio,ollama_specific,True
session_features.call_count,portable,True
normalization_features.agent_zscore,offline_only,True
timing_source,diagnostic_only,True
model_name,diagnostic_only,True
llm_backend,diagnostic_only,True
prompt_config_version,diagnostic_only,True
agent_config_version,diagnostic_only,True
schema_version,diagnostic_only,True
